Start Date,1/1/00,,,,,,,,,,,,,,,,,,,,,,,
End Date,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,USDKRW Curncy,,,,,,USDJPY Curncy,,,,,,USDCNY Curncy,,,,,,USDEUR Curncy,,,,,
,Last Trade/Last Price,Volume,RSI 14 Day,RSI 30 Day,RSI 9 Day,RSI 3 Day,Last Trade/Last Price,Volume,RSI 14 Day,RSI 30 Day,RSI 9 Day,RSI 3 Day,Last Trade/Last Price,Volume,RSI 14 Day,RSI 30 Day,RSI 9 Day,RSI 3 Day,Last Trade/Last Price,Volume,RSI 14 Day,RSI 30 Day,RSI 9 Day,RSI 3 Day
Dates,LAST_PRICE,PX_VOLUME,RSI_14D,RSI_30D,RSI_9D,RSI_3D,LAST_PRICE,PX_VOLUME,RSI_14D,RSI_30D,RSI_9D,RSI_3D,LAST_PRICE,PX_VOLUME,RSI_14D,RSI_30D,RSI_9D,RSI_3D,LAST_PRICE,PX_VOLUME,RSI_14D,RSI_30D,RSI_9D,RSI_3D
1月3日2000年,1127.5,#N/A N/A,38.37,32.66,38.35,29.31,101.45,#N/A N/A,39.39,40.4,35.72,20.69,8.2798,#N/A N/A,65.7212,64.0055,66.2892,80.0328,0.9763,#N/A N/A,44.7901,54.8192,37.7147,16.8231
1月4日2000年,1122.25,#N/A N/A,35.3,31.19,34.02,22.1,103.22,#N/A N/A,52.08,46.67,55.37,69.49,8.2799,#N/A N/A,67.5074,64.7712,68.8749,84.2583,0.9713,#N/A N/A,41.8008,52.9866,33.9211,12.8089
1月5日2000年,1134.5,#N/A N/A,46.12,37.93,49.09,58.14,104.14,#N/A N/A,57.11,49.53,62.14,79.38,8.2798,#N/A N/A,63.9205,63.3766,63.4037,63.9564,0.9689,#N/A N/A,40.4068,52.1213,32.1735,10.931
1月6日2000年,1146.25,#N/A N/A,54.06,43.43,59.16,74.87,105.23,#N/A N/A,62.17,52.64,68.51,86.92,8.2797,#N/A N/A,60.4609,61.9957,58.2024,46.9776,0.9682,#N/A N/A,39.9879,51.8658,31.6387,10.2721
1月7日2000年,1137.5,#N/A N/A,48.35,40.65,50.75,51.76,105.34,#N/A N/A,62.65,52.94,69.1,87.6,8.2794,#N/A N/A,51.4622,58.0691,45.5822,21.4057,0.9713,#N/A N/A,42.8151,52.9232,36.8674,35.9273
1月10日2000年,1133.25,#N/A N/A,45.82,39.39,47.1,42.26,105.16,#N/A N/A,61.28,52.37,66.8,77.61,8.2794,#N/A N/A,51.4622,58.0691,45.5822,21.4057,0.975,#N/A N/A,46.0802,54.1664,42.7473,57.6209
1月11日2000年,1146,#N/A N/A,53.66,44.72,57.44,68.38,105.95,#N/A N/A,64.9,54.58,71.49,87.21,8.2795,#N/A N/A,54.103,58.9956,50.143,44.1904,0.9675,#N/A N/A,40.9733,51.3243,35.2588,28.3922
1月12日2000年,1144.25,#N/A N/A,52.53,44.17,55.76,62.55,105.79,#N/A N/A,63.61,54.05,69.26,77.16,8.2796,#N/A N/A,56.6434,59.9118,54.4387,61.1043,0.97,#N/A N/A,43.2317,52.1893,39.2496,42.8796
1月13日2000年,1135.25,#N/A N/A,47.07,41.45,47.67,37.75,106.17,#N/A N/A,65.38,55.11,71.62,83.81,8.2798,#N/A N/A,61.2616,61.6833,61.8372,79.6272,0.9748,#N/A N/A,47.3936,53.8194,46.3881,63.9088
