,Long position,Short position,Gross risk,Net risk,Daily performance,YTD performance,Vol,Sharpe Ratio
1月1日2021年,37%,-52%,89%,-15%,-0.01%,-0.01%,,
1月4日2021年,14%,-83%,97%,-69%,0.12%,0.11%,,
1月5日2021年,42%,-48%,90%,-6%,13.69%,13.80%,,
1月6日2021年,80%,-13%,93%,67%,48.89%,62.69%,,
1月7日2021年,42%,-43%,86%,-1%,-30.76%,31.93%,,
1月8日2021年,51%,-41%,92%,10%,-20.69%,11.24%,,
1月11日2021年,47%,-53%,100%,-6%,31.09%,42.33%,,
1月12日2021年,39%,-58%,97%,-19%,-34.91%,7.41%,,
1月13日2021年,59%,-35%,94%,24%,67.19%,74.61%,,
1月14日2021年,42%,-47%,89%,-6%,-21.40%,53.20%,,
1月15日2021年,42%,-53%,95%,-11%,9.15%,62.35%,,
1月18日2021年,33%,-65%,98%,-32%,-2.19%,60.16%,,
1月19日2021年,20%,-78%,98%,-59%,8.43%,68.59%,,
1月20日2021年,31%,-66%,98%,-35%,27.23%,95.82%,30%,3.2
1月21日2021年,22%,-76%,99%,-54%,21.04%,116.86%,30%,3.9
1月22日2021年,58%,-36%,93%,22%,8.03%,124.89%,30%,4.2
1月25日2021年,72%,-27%,99%,45%,34.50%,159.38%,30%,5.2
1月26日2021年,26%,-59%,85%,-33%,-41.17%,118.21%,31%,3.8
1月27日2021年,76%,-22%,98%,54%,14.24%,132.46%,30%,4.5
1月28日2021年,55%,-44%,99%,11%,34.50%,166.95%,29%,5.7
1月29日2021年,12%,-78%,90%,-66%,-58.08%,108.87%,34%,3.2
2月1日2021年,76%,-21%,97%,55%,119.49%,228.36%,44%,5.2
2月2日2021年,63%,-35%,99%,28%,17.77%,246.13%,41%,6.0
2月3日2021年,21%,-71%,92%,-50%,-35.08%,211.05%,42%,5.0
2月4日2021年,49%,-50%,99%,-1%,11.21%,222.26%,42%,5.3
2月5日2021年,26%,-66%,92%,-40%,60.25%,282.51%,44%,6.4
2月8日2021年,38%,-55%,93%,-18%,-38.56%,243.95%,46%,5.3
2月9日2021年,56%,-33%,89%,23%,99.91%,343.86%,52%,6.6
2月10日2021年,62%,-31%,93%,31%,-36.14%,307.73%,54%,5.7
2月11日2021年,28%,-59%,87%,-31%,44.90%,352.62%,54%,6.5
2月12日2021年,53%,-35%,88%,18%,-66.35%,286.28%,58%,4.9
2月15日2021年,28%,-67%,95%,-39%,268.16%,554.44%,89%,6.3
2月16日2021年,44%,-47%,91%,-3%,-89.95%,464.49%,94%,4.9
2月17日2021年,41%,-57%,97%,-16%,961.51%,1426.00%,268%,5.3
2月18日2021年,35%,-60%,95%,-25%,-85.16%,1340.84%,269%,5.0
2月19日2021年,47%,-53%,100%,-5%,603.66%,1944.49%,303%,6.4
